BLDG,ROOM,DAYS,TIME,DATES,SUBJ,CRSE #,CRN,X-LIST
AA,123,MTWRF,0900-1200,03-JAN-2012/20-JAN-2012,ARTZ,108A,35114
AA,123,TR,0810-1000,23-JAN-2012/12-MAY-2012,ARTZ,108A,33004
AA,123,MW,0810-1000,23-JAN-2012/12-MAY-2012,ARTZ,251A,35087
AA,123,MW,1010-1200,23-JAN-2012/12-MAY-2012,ARTZ,351,31076
AA,123,TR,1010-1200,23-JAN-2012/12-MAY-2012,ARTZ,108A,33005
AA,123,MW,1410-1600,23-JAN-2012/12-MAY-2012,ARTZ,451,32053
AA,128,MTWRF,0900-1200,03-JAN-2012/20-JAN-2012,ARTZ,231A,35383
AA,128,MTWRF,1300-1600,03-JAN-2012/20-JAN-2012,ARTZ,131A,34055
AA,128,TR,1010-1200,23-JAN-2012/12-MAY-2012,ARTZ,231A,35086
AA,128,TR,1410-1600,23-JAN-2012/12-MAY-2012,ARTZ,231A,35085
AA,128,MW,1410-1600,23-JAN-2012/12-MAY-2012,ARTZ,331,33195
AA,128,TR,1610-1800,23-JAN-2012/12-MAY-2012,ARTZ,331,35276
AA,128,T,1810-2100,23-JAN-2012/12-MAY-2012,ARTZ,430,34172
ADAM,RATC,R,0700-0900,23-JAN-2012/12-MAY-2012,HHP,478,32831
ADAM,,TR,0610-0700,23-JAN-2012/12-MAY-2012,HHP,141,31585
AKK,,TR,1310-1400,23-JAN-2012/12-MAY-2012,HHP,171,32262
BG,,MW,1410-1500,23-JAN-2012/12-MAY-2012,HHP,175,32003
CHCB,12,TR,1310-1630,23-JAN-2012/12-MAY-2012,PHSX,444,32498
CHCB,12,M,1510-1700,23-JAN-2012/12-MAY-2012,PHSX,444,32498
CHCB,13,T,1310-1500,23-JAN-2012/12-MAY-2012,ASTR,135N,30545
CHCB,13,W,1310-1500,23-JAN-2012/12-MAY-2012,ASTR,135N,30546
CHCB,13,R,1310-1500,23-JAN-2012/12-MAY-2012,ASTR,135N,30680
CHCB,13,R,1510-1700,23-JAN-2012/12-MAY-2012,ASTR,135N,31485
CHCB,13,W,1610-1800,23-JAN-2012/12-MAY-2012,ASTR,135N,30547
